iter	Passed	Remaining
0	154	154701
1	156	77862
2	157	52243
3	158	39407
4	159	31700
5	160	26556
6	161	22875
7	162	20136
8	163	17966
9	164	16236
10	164	14816
11	165	13644
12	166	12640
13	167	11784
14	168	11052
15	169	10408
16	170	9847
17	171	9349
18	172	8900
19	173	8494
20	174	8122
21	175	7815
22	176	7517
23	178	7241
24	178	6980
25	179	6734
26	180	6514
27	182	6320
28	183	6131
29	184	5950
30	184	5775
31	185	5610
32	186	5461
33	187	5318
34	187	5181
35	188	5050
36	189	4928
37	190	4815
38	191	4708
39	192	4608
40	193	4517
41	194	4430
42	195	4344
43	195	4257
44	196	4174
45	197	4095
46	198	4016
47	199	3953
48	200	3881
49	200	3814
50	201	3748
51	202	3685
52	202	3623
53	203	3565
54	204	3515
55	205	3466
56	206	3415
57	207	3364
58	207	3315
59	208	3267
60	209	3219
61	209	3174
62	210	3130
63	211	3088
64	211	3047
65	212	3006
66	213	2967
67	213	2929
68	214	2893
69	215	2857
70	215	2822
71	216	2788
72	217	2756
73	217	2724
74	218	2694
75	219	2667
76	220	2641
77	221	2615
78	222	2592
79	223	2565
80	223	2539
81	224	2515
82	225	2486
83	225	2462
84	226	2437
85	227	2414
86	227	2390
87	228	2367
88	229	2345
89	229	2322
90	230	2304
91	231	2283
92	232	2262
93	232	2242
94	233	2221
95	234	2210
96	235	2193
97	236	2175
98	237	2158
99	237	2140
100	238	2123
101	239	2106
102	239	2088
103	240	2071
104	241	2055
105	241	2039
106	242	2023
107	243	2007
108	244	1994
109	244	1981
110	245	1967
111	246	1953
112	246	1938
113	247	1924
114	248	1910
115	249	1898
116	249	1885
117	250	1874
118	251	1861
119	252	1848
120	252	1836
121	253	1822
122	253	1809
123	254	1797
124	255	1786
125	255	1774
126	256	1762
127	257	1752
128	257	1741
129	258	1729
130	259	1718
131	259	1708
132	260	1697
133	260	1686
134	261	1676
135	262	1666
136	263	1657
137	263	1648
138	264	1640
139	265	1632
140	266	1623
141	266	1612
142	267	1602
143	268	1593
144	268	1584
145	269	1576
146	270	1567
147	270	1559
148	271	1551
149	272	1542
150	272	1534
151	273	1526
152	274	1518
153	274	1510
154	275	1503
155	276	1496
156	277	1490
157	278	1484
158	279	1479
159	280	1472
160	280	1464
161	282	1459
162	283	1453
163	283	1447
164	284	1441
165	285	1436
166	286	1430
167	287	1424
168	288	1417
169	289	1411
170	289	1405
171	290	1400
172	291	1394
173	292	1387
174	292	1381
175	293	1374
176	294	1367
177	295	1362
178	296	1357
179	297	1353
180	297	1348
181	298	1342
182	299	1337
183	300	1332
184	301	1327
185	302	1322
186	303	1319
187	304	1315
188	305	1309
189	306	1304
190	306	1299
191	307	1295
192	308	1290
193	309	1285
194	310	1281
195	311	1277
196	312	1272
197	313	1267
198	313	1263
199	314	1259
200	315	1255
201	317	1252
202	317	1248
203	318	1243
204	319	1238
205	320	1233
206	320	1228
207	321	1224
208	322	1220
209	323	1216
210	323	1211
211	324	1207
212	325	1202
213	326	1199
214	327	1195
215	328	1192
216	329	1188
217	330	1184
218	330	1180
219	331	1176
220	332	1171
221	333	1167
222	333	1163
223	334	1160
224	335	1156
225	336	1151
226	336	1147
227	337	1143
228	338	1138
229	338	1134
230	339	1130
231	349	1157
232	350	1154
233	351	1149
234	351	1145
235	352	1141
236	353	1138
237	354	1134
238	355	1130
239	355	1127
240	356	1123
241	357	1119
242	358	1116
243	359	1112
244	360	1110
245	361	1106
246	361	1103
247	362	1099
248	363	1095
249	364	1092
250	364	1088
251	365	1084
252	365	1080
253	366	1076
254	367	1074
255	368	1070
256	368	1066
257	369	1063
258	370	1059
259	371	1056
260	372	1053
261	373	1050
262	374	1048
263	375	1045
264	375	1042
265	376	1038
266	377	1036
267	378	1033
268	378	1029
269	379	1027
270	380	1024
271	381	1021
272	382	1019
273	383	1017
274	384	1014
275	385	1012
276	386	1009
277	387	1007
278	388	1004
279	389	1002
280	390	999
281	391	996
282	392	993
283	393	991
284	394	988
285	394	985
286	395	982
287	396	979
288	396	976
289	397	973
290	398	970
291	399	968
292	400	965
293	400	962
294	401	960
295	402	958
296	403	955
297	404	953
298	405	951
299	407	949
300	407	947
301	408	944
302	409	941
303	409	938
304	410	935
305	411	932
306	411	929
307	412	927
308	413	925
309	414	922
310	415	919
311	415	916
312	416	913
313	417	911
314	418	909
315	419	907
316	420	905
317	421	903
318	421	900
319	422	897
320	423	894
321	423	892
322	424	889
323	425	887
324	426	885
325	426	882
326	427	880
327	428	877
328	428	874
329	429	871
330	430	869
331	430	867
332	431	865
333	432	862
334	433	860
335	434	858
336	435	856
337	435	853
338	436	851
339	437	849
340	438	847
341	439	844
342	439	842
343	440	840
344	441	837
345	441	834
346	442	832
347	443	830
348	443	828
349	444	826
350	445	823
351	446	821
352	447	819
353	448	817
354	448	815
355	449	813
356	450	811
357	451	810
358	452	808
359	453	805
360	453	803
361	454	801
362	455	798
363	455	796
364	456	794
365	457	792
366	458	790
367	458	788
368	459	785
369	460	783
370	460	781
371	461	778
372	462	777
373	463	775
374	464	773
375	465	772
376	466	770
377	466	768
378	467	766
379	468	763
380	468	761
381	469	759
382	470	758
383	471	756
384	471	753
385	472	751
386	473	749
387	473	747
388	474	745
389	475	743
390	476	741
391	477	739
392	478	738
393	479	736
394	480	735
395	480	733
396	481	731
397	482	729
398	483	727
399	484	726
400	484	723
401	485	721
402	485	719
403	486	717
404	487	715
405	487	713
406	488	712
407	489	710
408	490	708
409	491	706
410	492	705
411	492	703
412	493	701
413	494	700
414	495	698
415	496	697
416	497	695
417	498	694
418	499	692
419	499	690
420	500	688
421	501	686
422	502	685
423	503	683
424	504	682
425	504	680
426	505	678
427	506	677
428	507	675
429	508	674
430	509	672
431	510	671
432	511	669
433	512	668
434	513	666
435	514	665
436	515	663
437	516	662
438	517	660
439	517	659
440	518	657
441	519	656
442	520	654
443	521	653
444	522	651
445	523	650
446	524	648
447	525	646
448	525	645
449	527	644
450	527	642
451	528	641
452	529	639
453	530	638
454	531	636
455	532	635
456	533	633
457	534	632
458	535	630
459	536	629
460	536	627
461	537	626
462	538	625
463	539	623
464	540	621
465	541	620
466	542	619
467	543	617
468	543	615
469	544	614
470	545	612
471	545	610
472	546	609
473	547	607
474	548	606
475	549	604
476	549	602
477	550	600
478	550	599
479	551	597
480	552	596
481	553	594
482	554	593
483	555	592
484	556	590
485	557	589
486	557	587
487	558	586
488	559	584
489	560	583
490	561	581
491	561	580
492	562	578
493	563	576
494	563	575
495	564	573
496	565	571
497	566	570
498	566	568
499	567	567
500	568	565
501	568	564
502	570	563
503	570	561
504	571	560
505	572	558
506	572	557
507	573	555
508	574	553
509	575	552
510	575	550
511	576	549
512	576	547
513	577	546
514	578	544
515	578	543
516	579	541
517	580	539
518	580	538
519	581	536
520	582	535
521	583	533
522	583	532
523	584	531
524	585	529
525	586	528
526	586	526
527	587	525
528	588	523
529	588	522
530	589	520
531	590	519
532	590	517
533	591	516
534	591	514
535	592	512
536	593	511
537	593	509
538	594	508
539	595	506
540	595	505
541	596	503
542	596	502
543	597	500
544	598	499
545	599	498
546	600	497
547	601	495
548	601	494
549	602	492
550	603	491
551	603	490
552	604	488
553	605	487
554	605	485
555	606	484
556	606	482
557	607	481
558	608	479
559	608	478
560	609	476
561	610	475
562	610	473
563	611	472
564	611	471
565	612	469
566	613	468
567	613	466
568	614	465
569	615	464
570	617	463
571	618	462
572	618	461
573	619	459
574	620	458
575	620	457
576	621	455
577	622	454
578	622	452
579	623	451
580	624	450
581	624	448
582	625	447
583	626	445
584	626	444
585	627	443
586	627	441
587	628	440
588	629	439
589	630	437
590	631	436
591	632	435
592	633	434
593	633	433
594	634	432
595	635	430
596	636	429
597	637	428
598	637	426
599	638	425
600	639	424
601	639	422
602	640	421
603	640	420
604	641	418
605	642	417
606	642	416
607	643	414
608	644	413
609	644	412
610	646	411
611	647	410
612	647	409
613	648	407
614	649	406
615	649	405
616	650	403
617	651	402
618	651	401
619	652	399
620	652	398
621	653	397
622	654	395
623	654	394
624	655	393
625	656	392
626	657	390
